country,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,0.449,,,,,,,0.329,,,,,,,,,0.246,,,,,0.191,
Albania,,,,,,,,,,,,,,,0.071,,,0.17,,,,,0.066,,,,0.063,,,,,,,,0.015,,
Algeria,,,,,0.08,,,,,0.092,,,0.113,,,,,0.054,,0.111,,,,0.034,,,,,,0.03,,,,,,,
Angola,,,,,,,,,,,,,,0.362,,,,,,,,,,,0.156,,,,,,,,0.19,,,,
Argentina,,,,,,,,,,,,0.017,,0.047,,,,,,,,,0.023,,,,,,,,,,,,,,0.017
Armenia,,,,,,,,,,,,,,,,0.027,,0.026,,,,,0.042,,,,,0.053,,,,,,0.026,,,
Australia,,,,,,,,,,,,,0,,,,,,,,,,,,0.002,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,0.088,,,,0.14,0.059,,,,,0.084,,,,,0.065,,0.049,,,,,,
Bahrain,,,,,,,0.063,,,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,0.668,,,,0.615,0.612,0.606,0.561,0.58,0.552,0.54,0.536,0.507,0.495,0.424,0.432,0.41,0.389,0.428,0.373,0.379,0.413,,,,0.367,,0.351,0.328,,,,0.219,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,
Belize,,,,,,,,,,0.054,,,,,,,,,,,,,,0.05,,,,,0.062,,,,0.046,,,,
Benin,,,,,,,,,,,,,,0.262,,,,,0.195,,,,,,,,,,,,,0.18,,,,0.168,
Bhutan,,,,,0.34,,,,,,,,,,,,0.141,,,,,,,,,0.104,,0.127,,,,,,,,,
Bolivia,,,,,,0.098,0.078,0.097,0.102,0.105,,0.11,,,,0.059,,,,,0.058,,,,,0.045,,,,0.036,,,,0.034,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.042,,,,,,0.016,,,,,,0.016,,,,,,,
Botswana,,,,,,,,,,,,,,0.151,,,,0.111,,,,,,,0.118,,,,,,,,,,,,
Brazil,,,,,,,0.056,,,,,,,0.045,,,,,,0.037,,,,,0.022,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,0.016,,,0.025,,,,,,,0.019,,,,,
Burkina Faso,,,,,,,,,,,0.287,,,,,,0.309,,,,0.352,,,0.359,,,0.26,0.262,0.251,0.243,0.209,0.2,,0.189,0.162,0.177,
Burundi,,,,,0.336,,,,,,,,,,,,,0.391,,,,,0.352,,,,,0.291,,,,,,0.293,,,0.272
Cambodia,,,,,,,,,,,,,,0.426,,,,0.397,,,,,0.283,,,0.283,,0.289,,,,0.241,,,,,
Cameroon,,,,,,,,,0.129,,,,,,,0.173,,,,,,0.151,,0.165,,,,,0.152,,,0.148,,,,0.11,
Cape Verde,,,0.137,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,0.24,,,,,,0.213,,,,,,0.261,,,,0.235,,0.245,,,,,,0.208,
Chad,,,,,,,,,,,,,,,0.343,,,0.292,,,,0.338,,,,,,0.303,,,,,0.294,,,,
Chile,,,,0.022,,,,,,,,0.008,0.008,0.007,,0.007,0.007,,0.007,0.007,0.006,0.006,,0.006,0.006,0.005,,,,,0.005,0.005,,,,,
China,,,,,0.187,,,0.126,,0.142,,,0.107,,,0.069,,0.074,,0.068,,,0.045,,,0.038,0.034,0.034,,,0.024,,,,,,
Colombia,,,,0.089,,,0.088,,,,,,0.063,,,,,0.049,,,,0.05,,,,,,0.034,,,,,,0.037,,,
Comoros,,,,,,,,,,0.152,,,,0.211,,,,0.251,,,,,,,,,,,,0.169,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,0.307,,,,,,0.303,,,,,,0.256,,,0.242,,,0.234,,,,,,
"Congo, Rep.",,,,,0.164,,,,,,,,,,,,,,,,,,0.119,,,,,,0.118,,,0.123,,,,,
Costa Rica,,,,,,,0.024,0.025,0.022,0.02,0.02,0.019,,0.038,,,,,,,,,,,,0.011,,,,,,,,,,,
Cote d'Ivoire,,,,0.108,,,,,,,,0.203,,,,0.182,,,,,,,,0.165,0.294,,,,,0.157,,,,0.128,,,
Cuba,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,0.009,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,0.202,,,,,,,0.16,,,,,,0.244,,,,,,,,,,0.299,,,,,,,
Dominican Republic,,,,0.087,,,,,0.084,,,,,0.047,,,,0.033,,0.042,,,,0.046,0.034,,,,,,0.04,,,,,,
Ecuador,,,,0.145,,,,,,,,,,,,,0.104,,,,,0.067,,0.068,,,,,,0.064,,0.051,,,,,
Egypt,,,,,,0.094,,,0.105,,0.082,,0.108,,0.102,0.094,,,,,0.087,,0.054,,,0.068,,,,,,0.07,,,,,
El Salvador,,,,,,0.111,,,,,0.08,,,,,0.097,,,,,0.061,,,,,0.067,,,,,,0.05,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,0.138,,,0.157,,,,0.106,,,,,,,0.056,,,,,,,,
Eritrea,,,,,,,,,,,0.369,,0.396,,,,,,,0.343,,,,,,,,0.394,,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,0.091,,,,,,0.06,,0.073,,0.059,,,,0.058,,,,,
Ethiopia,,,,,,,,,,0.419,,,,,,,,0.42,,,,,0.344,,,,,,0.292,,,0.252,,0.236,,,0.211
Fiji,,,,,,,,,,,0.069,,,,,,,,,,,0.053,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,0.064,,,,,,,
Gambia,,,,,,,,,,,,,,0.232,,,,0.154,,,,,,0.158,,,,0.174,,0.179,0.165,,,,,0.103,
Georgia,,,,,,,,,,,,,,,,,0.027,,,,,,0.024,,,,0.011,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,0.005,,,
Ghana,,,,,,0.248,,,,,0.258,,,,,0.201,,,,,0.19,,,0.139,,0.144,,,0.134,,,0.112,,,0.126,,
Guatemala,,,,,0.279,,,,,,,,0.217,,,,0.203,0.188,,0.182,,,,,,,0.141,,,,,,0.124,,,,
Guinea,,,,,,,,,,,,0.212,,,,,0.2,,,,,,0.227,,0.208,,,,0.16,0.188,,,,0.183,,0.163,
Guinea-Bissau,,,,,,,,,,,,,,,,,,0.198,,,,,,0.174,,,,0.18,,,,0.17,,,,,
Guyana,,,,,,,,,,,0.161,,,,0.103,,,0.119,,,,,,0.108,,,0.11,,,,,0.082,,,,,
Haiti,,,,,,,,0.237,,,,0.238,,,,,,0.139,,,,,,0.189,,,,,,0.116,,,,,0.095,,
Honduras,,,,,0.181,,,,,0.158,,0.161,,0.179,,,,,0.128,,,,,0.087,,,,,,0.071,,,,,,,
India,,,,,,,0.555,,,0.528,0.512,,,,0.384,,0.463,,,,,,,0.435,,,,,,,,0.294,0.363,,0.334,,
Indonesia,,,,,0.359,,0.31,,,0.298,,,,0.303,,0.258,0.228,0.248,0.234,0.23,0.231,0.197,0.244,,0.196,,,0.186,,,0.199,,,,,0.177,
Iran,,,,,,,,,,,,,0.138,,,0.095,,,,,,0.046,,,,,,,0.041,,,,,,,,
Iraq,,,,,,,,,0.104,,,,,,,,,0.128,,,0.101,0.08,,0.071,,,,,0.072,,,,,,,0.039,
Jamaica,,,,,,,0.063,,0.056,0.057,0.061,0.046,0.048,0.056,0.035,0.038,0.021,0.039,0.04,0.027,,0.031,,0.048,0.018,0.024,,0.034,,0.027,,0.022,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,
Jordan,,,,,,,,0.051,,,,,,,0.038,,,,,0.037,,,,,,,0.019,,,0.03,,,,,,,
Kazakhstan,,,,,,,,,,,,,0.044,,,,0.038,,,,,,,0.049,,,,0.037,,,,,0.02,,,,
Kenya,,,,,,,,,,,0.194,0.179,,,,0.175,,0.171,,,0.164,,0.18,,,0.165,,,,,,0.112,,,,,
Kiribati,,,0.113,,,,,,,,,,,,,,,,,,,,,,,,0.151,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,0.015,,,,,0.022,0.021,0.023,0.028,0.027,0.027,0.029,0.023,0.017,0.017,0.021,0.022,0.031,0.03,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,0.104,,,,,,,,,0.027,,,0.047,,,0.038,,0.028,,,,0.018,
Lao,,,,,,,,,,,0.398,0.359,,,,,,0.356,,,,,,0.316,,,,,0.266,,,,0.255,,0.211,,
Lebanon,,,,,,,,,,,,,,0.035,,,,,,,,0.042,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,0.138,0.189,,,,,,,0.149,,,,0.166,,,,,0.134,,,,,0.105,,,,0.105,
Liberia,,,,,,,,,,,,,,,,,,0.228,,,,,,,0.204,,,0.166,,,0.153,,,0.136,,,
Libya,,,,,,,,,,,,,0.042,,,,,,,,,,,,0.056,,,,,,,0.117,,,,,
Madagascar,,,,,,,,,,0.352,0.409,,0.304,,0.38,,,,,,,0.367,,,,,,,,0.326,,,,,,0.264,
Malawi,,,,,,,,,,0.244,,,0.265,,,0.245,,0.215,,0.217,,0.186,,0.156,,,0.121,0.139,,,,0.167,0.118,0.15,0.112,0.118,
Malaysia,,,,,,,,0.221,0.231,0.226,0.205,0.197,0.177,,,,0.167,,,,,,,0.129,,,,,,,,,0.124,0.137,,,
Maldives,,,,,,,,,,,,0.325,0.39,,0.367,,,,0.257,,,,,,,,0.177,,,,,,,,,,
Mali,,,,,0.286,,,,,,,,,0.377,,,,,0.3,,,,,0.279,,,,0.189,,,,,0.25,,,0.186,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,
Mauritania,,,,,,,,0.431,,,,,,0.203,,,,0.297,,,,,,,0.255,0.165,,,0.244,0.202,,,0.249,,,0.192,
Mauritius,,,0.211,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,0.124,0.096,,,,,,,0.103,,0.056,,,,,,,,0.034,,,,,,0.028,,,0.039,0.042,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,0.022,,,,,,,
Mongolia,,,,,,,,,,0.118,,,,,,,0.108,0.116,,,,0.048,0.053,,,,,0.047,,,0.016,,,0.008,,0.018,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,0.01,,,,,,
Morocco,,,,,0.104,,,,,0.081,,,,,0.077,,,,,,0.098,,,,,,,,0.029,,,,,,0.026,,
Mozambique,,,,,,,,,,,,,0.239,,0.263,,,,0.245,,0.212,,,,,0.182,,,0.156,,,,0.156,,,,
Myanmar,,,,,,,,0.325,0.37,,,0.312,0.387,,0.281,,,0.3,,,0.292,,,,,,0.226,,,,,,,0.185,,,
Namibia,,,,,,,,,,0.214,,,,,,,,0.202,,,,,,,0.174,,,,,,0.132,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,0.426,0.471,,0.382,,,0.428,,,,,0.385,,,,,0.291,,,0.301,,0.272,,,
Nicaragua,,,,,,,,,,,0.096,,,,,0.103,,,0.077,,,0.043,,0.057,,,,,,0.046,,,,,,,
Niger,,,0.45,,,,,,,0.387,,,,,,0.469,,0.431,,,,,,0.399,,,,,,0.321,0.331,0.346,,0.32,,0.375,
Nigeria,,,,,,,,0.331,,,0.351,,,,,,,,,,0.267,,,,0.233,0.267,,,0.242,,0.31,0.206,0.195,0.315,,0.218,
North Korea,,,,,,,,,,,,,,,,0.555,,0.247,,0.178,,0.206,,,,,0.188,,,0.152,,,,,0.093,,
North Macedonia,,,,,,,,,,,,,,,,,0.019,,,,,,0.018,,,,,,0.013,,,,,,,,
Oman,,,,,,,,,0.186,,,0.104,,,,,0.13,,,,,,,,,,0.086,,,,,0.097,,,0.112,,
Pakistan,,,,0.444,,,,,0.39,0.353,,,0.342,,,,,,0.312,,,,,,,,,,0.309,,0.318,,,,,0.231,
Palestine,,,,,,,,,,,,,,0.036,,,,,,,,0.033,,0.026,,,,0.037,,,,0.014,,,,,
Panama,,,,,,,,,,,,,,,0.05,,,,,,0.053,,,,,0.039,,,,,,,,,,,
Papua New Guinea,0.228,,,,,,,,,,,,,,,,,,,,,,0.181,,,,,0.278,,,,,,,,,
Paraguay,,,,,,,,0.028,,,,,,,,,,,,,,,0.034,,,,,,,0.026,,,,0.013,,,
Peru,,,,,,,,,0.088,,,,,0.057,,,,0.052,,,,,0.054,,0.043,,0.043,0.043,0.042,0.034,0.036,0.032,0.034,0.032,0.032,0.026,
Philippines,,,,,0.293,,,0.299,,0.298,0.263,,,,,0.283,,,,,0.207,,,,,0.207,,,0.202,,0.199,,0.214,,,0.191,
Qatar,,,,,,,,,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,0.05,,,,,,,,0.034,0.037,0.038,0.035,,,,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,0.242,,,,0.226,,,,0.203,,,,,0.179,,,,0.158,0.117,,0.12,,,0.089,,,,
Samoa,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,,0.032,,,,,
Sao Tome and Principe,,,,0.145,,,,,,,,,,,,,,0.102,,,,,,0.08,,0.148,,,,,,0.088,,,,,
Saudi Arabia,,,,,,,,,,,,0.135,,,,,,,,,,,0.053,,,,,,,,,,,,,,
Senegal,,,,0.17,,,,,,0.204,0.19,,,0.196,,,,0.178,,,,,0.145,,,,,,0.184,0.144,0.167,0.128,0.161,0.138,0.144,,0.133
Serbia,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,0.016,,,,0.018,,,,,
Seychelles,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.036,,,,,,,
Sierra Leone,,,,,,,0.237,0.254,,,,,,,,,,0.234,,,,,0.272,,,0.215,,0.217,,,0.182,,,,0.136,,0.136
Singapore,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,0.163,,,,,,,,,,,,,,,,,,0.115,,,,,,,,0.162,,,,
Somalia,,,,,,,,,,,,,,,,,,0.228,,,,,,0.328,,,0.225,,,,,,,,,,
South Africa,,,,,,,,,,,,0.149,0.08,,,,0.098,,,,,0.121,,,,0.088,,,,0.085,,,,0.059,,,
South Korea,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,0.007,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,0.325,,,,0.277,,,,,,,,,
Sri Lanka,,,,,0.328,,,,,,0.338,,0.293,,,,,0.228,,,,,,,0.211,,0.216,,,0.261,,,,0.205,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,0.298,,,,0.33,,,,,
Suriname,,,,,,,,,,,,,,,,,,0.111,,,,,,0.075,,,,0.058,,,,,,,,,
Syria,,,,,,,,,,,0.115,,0.113,,,,,0.06,0.111,,,,,0.1,,,,0.104,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,0.149,,0.151,,0.083,,,0.133,,,,0.064,0.076,,
Tanzania,,,,,,,,,0.248,,,,,0.268,,,0.253,,,,,0.167,,,,,0.164,0.161,0.141,,0.131,0.134,0.137,,,0.146,
Thailand,,,,,0.202,,,,,,0.163,,0.154,,,,,,,,,,,0.07,,,,,,0.092,,,,0.067,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,0.406,0.415,,,,0.495,,0.449,,,,0.375,,,,,,
Togo,,,,,,0.217,,,,,,,,0.167,,0.238,,,,,,,,0.233,,0.205,,0.166,,0.165,,0.161,,,0.152,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,
Trinidad and Tobago,,,,,0.062,,,,,,,,,,,,,0.043,,,,,,,,,,,0.049,,,,,,,,
Tunisia,,,,,,0.079,,,,,,,,,0.033,,,0.035,,,,,,0.033,,,,,,0.023,,,,,,0.016,
Turkey,,,,,,,,,,,0.087,,0.09,,,0.07,,,,,,0.035,,,,0.019,,,,,0.023,,,,,0.015,
Turkmenistan,,,,,,,,,,,,,,,,,,0.105,,,,,,0.092,,,,,,,,,0.032,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,
Uganda,,,,,,0.197,,,,,,,0.208,,,,,0.192,,,,,,0.163,,,0.157,,0.141,0.119,,0.117,,0.104,,,
Ukraine,,,,,,,,,,,,,,,,,,0.041,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,0.009,,,,,,,,,,0.011,,,,0.011,,,,0.008,,,0.005,,,,,,,
Uruguay,,,,,0.065,,,,,,,,,,,,0.047,,,0.054,0.051,0.06,,,0.042,,,,0.04,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,0.133,,,,,,0.074,,,,0.044,,,,,,,,,,,0.029,,
Vanuatu,,,,,,,,,,,,,,0.106,,,,,,,,,,,0.115,,,,,,0.117,,,,,,
Venezuela,,,,,0.039,,,0.067,0.054,0.045,0.04,0.039,0.041,0.044,0.045,0.046,0.041,0.039,0.04,0.042,0.046,0.045,0.041,0.039,0.037,0.032,0.029,,,,,,,,,,
Vietnam,,,,,,0.407,,,,,0.366,0.406,,,,0.358,0.311,0.267,,0.234,0.246,0.238,0.227,0.221,0.226,0.202,,0.117,0.168,0.162,0.153,0.145,0.141,0.138,0.134,,
Yemen,,,,,,,,,0.299,,,,,0.342,0.43,,,,,,0.453,,0.367,,,,,,0.355,,0.399,,,,,,
Zambia,,,,,,,,,,0.212,,,,0.196,,,0.196,,,0.232,,,,,0.149,,,,,,0.149,,,,,0.118,
Zimbabwe,,,,,0.105,0.08,,,,,,0.118,,,,,0.115,,,,,,0.14,,,,0.117,0.102,,,,0.112,0.085,,,,0.097
